year,unique_id,buffer_pix_sum,buffer_pix_count,ring_pix_sum,ring_pix_count,buffer_area,ring_area,radius
2010,CHN53,3904,120,3271,224,78413712.2636463,78413712.26364858,5000
2011,CHN53,4132,120,3504,224,78413712.2636463,78413712.26364858,5000
2012,CHN53,3645,132,3306,224,78413712.2636463,78413712.26364858,5000
2013,CHN53,4339,132,3947,224,78413712.2636463,78413712.26364858,5000
2014,CHN53,4587,132,4142,224,78413712.2636463,78413712.26364858,5000
2015,CHN53,4584,132,4176,224,78413712.2636463,78413712.26364858,5000
2016,CHN53,4465,132,4017,224,78413712.2636463,78413712.26364858,5000
2017,CHN53,4553,132,4213,224,78413712.2636463,78413712.26364858,5000
2018,CHN53,4573,132,4363,224,78413712.2636463,78413712.26364858,5000
1992,CHN42,2209,121,1872,272,78413712.2636463,78413712.26364858,5000
1993,CHN42,2156,121,1717,272,78413712.2636463,78413712.26364858,5000
1994,CHN42,2325,121,1914,272,78413712.2636463,78413712.26364858,5000
1995,CHN42,2712,121,2189,272,78413712.2636463,78413712.26364858,5000
1996,CHN42,2606,121,2156,272,78413712.2636463,78413712.26364858,5000
1997,CHN42,3327,121,2585,272,78413712.2636463,78413712.26364858,5000
1998,CHN42,3428,121,2544,272,78413712.2636463,78413712.26364858,5000
1999,CHN42,3624,121,2829,272,78413712.2636463,78413712.26364858,5000
2000,CHN42,3611,121,2846,272,78413712.2636463,78413712.26364858,5000
2001,CHN42,4148,121,3072,272,78413712.2636463,78413712.26364858,5000
2002,CHN42,4250,121,3203,272,78413712.2636463,78413712.26364858,5000
2003,CHN42,4791,121,3610,272,78413712.2636463,78413712.26364858,5000
2004,CHN42,4947,121,4109,272,78413712.2636463,78413712.26364858,5000
2005,CHN42,4558,121,3620,272,78413712.2636463,78413712.26364858,5000
2006,CHN42,4458,121,3534,272,78413712.2636463,78413712.26364858,5000
2007,CHN42,4623,121,3767,272,78413712.2636463,78413712.26364858,5000
2008,CHN42,4674,121,3851,272,78413712.2636463,78413712.26364858,5000
2009,CHN42,4457,132,4239,240,78413712.2636463,78413712.26364858,5000
2010,CHN42,4186,132,4018,240,78413712.2636463,78413712.26364858,5000
